
studentNumber,studentGender,studentBDate,studentNetAccess,firstName,lastName,relationID,healthID,activityID
196000001,F,,Y,PrimeiroNome0,UltimoNome0,,,
196000002,F,,Y,PrimeiroNome1,UltimoNome1,,,
196000003,F,,Y,PrimeiroNome2,UltimoNome2,,,
196000004,F,,Y,PrimeiroNome3,UltimoNome3,,,
196000005,F,,Y,PrimeiroNome4,UltimoNome4,,,
196000006,F,,Y,PrimeiroNome5,UltimoNome5,,,
196000007,F,,Y,PrimeiroNome6,UltimoNome6,,,
196000008,F,,Y,PrimeiroNome7,UltimoNome7,,,
196000009,F,,Y,PrimeiroNome8,UltimoNome8,,,
196000010,F,,Y,PrimeiroNome9,UltimoNome9,,,
196000011,F,,Y,PrimeiroNome10,UltimoNome10,,,
196000012,F,,Y,PrimeiroNome11,UltimoNome11,,,
196000013,F,,Y,PrimeiroNome12,UltimoNome12,,,
196000014,F,,Y,PrimeiroNome13,UltimoNome13,,,
196000015,F,,Y,PrimeiroNome14,UltimoNome14,,,
196000016,F,,Y,PrimeiroNome15,UltimoNome15,,,
196000017,F,,Y,PrimeiroNome16,UltimoNome16,,,
196000018,F,,Y,PrimeiroNome17,UltimoNome17,,,
196000019,F,,Y,PrimeiroNome18,UltimoNome18,,,
196000020,F,,Y,PrimeiroNome19,UltimoNome19,,,
196000021,F,,Y,PrimeiroNome20,UltimoNome20,,,
196000022,F,,Y,PrimeiroNome21,UltimoNome21,,,
196000023,F,,Y,PrimeiroNome22,UltimoNome22,,,
196000024,F,,Y,PrimeiroNome23,UltimoNome23,,,
196000025,F,,Y,PrimeiroNome24,UltimoNome24,,,
196000026,F,,Y,PrimeiroNome25,UltimoNome25,,,
196000027,F,,Y,PrimeiroNome26,UltimoNome26,,,
196000028,F,,Y,PrimeiroNome27,UltimoNome27,,,
196000029,F,,Y,PrimeiroNome28,UltimoNome28,,,
196000030,F,,Y,PrimeiroNome29,UltimoNome29,,,
196000031,F,,Y,PrimeiroNome30,UltimoNome30,,,
